Teks,Label
Saya sangat marah dengan kejadian ini!,marah
Saya sedih mendengar kabar itu.,sedih
Hari ini sangat menyenangkan!,bahagia
Saya kecewa dengan hasil ini.,kecewa
yah begitu ya,kecewa
Ribut yuk,marah
sedih banget,sedih
"Alhamdulillah, akhirnya",bahagia
kecewa gua sama lu,kecewa
waduh males deh,kecewa
"Hadeuh, males banget gua",kecewa
menutup diri dan enggan didekati,kecewa
mencari tempat sepi untuk menenangkan diri,kecewa
menjauhi dan cut off,kecewa
"diem, gamau liat dan kalo bisa gamau ketemu sama orang yg udh bikin kecewa ",kecewa
"yang kamu lakuin itu bikin kecewa orang lain. lain kali jangan diulangin lagi, nyebelin.",kecewa
kecewa berat,kecewa
Jangan buat kecewa orang lagi yaa,kecewa
Yaudah gapapa kok,kecewa
"Aku sadar manusia ngga ada yg sempurna, mungkin aku juga sering bikin kamu kecewa. Tapi aku harap kita bisa sama-sama ngerti batasan dan bertanggung jawab sama apa yang kita lakuin ",kecewa
Dahlah ga jadi,kecewa
"Astagfirullah, cukup tau deh",kecewa
Aku kecewa padamu,kecewa
Gak mau lagi dan gak ngulang lagi,kecewa
Mudah2an dia gak berbuat salah lg,kecewa
kok kamu gitu sih,kecewa
kamu mengecewakan sekali,kecewa
kamu kok gitu,kecewa
Aku cemberut,kecewa
aku kecewaa sama kamu,kecewa
kamu ngecewain aku,kecewa
Kenapa kamu melakukannya,kecewa
Udah lah besok nggak lagi,kecewa
Saya kecewa sama kamu,kecewa
Males ah ngomong  sama kamu,kecewa
"terserah, lu udah bikin gua kecewa",kecewa
Aku kecewa ,kecewa
saya kecewa sama kamu,kecewa
Sialan,kecewa
"Dongkol,Cukup tau aja",kecewa
Biasa aja ,kecewa
nyesel saya kenal kamu,kecewa
Kecewa,kecewa
Saya kecewa sama kamu ,kecewa
Menggerutu,kecewa
Aduh..gmn sih,kecewa
Dasar kutu kupret,kecewa
kok bisa sih kamu seperti itu,kecewa
Kecewa,kecewa
"oh oke, cukup tau",kecewa
"huhh, kecewa banget",kecewa
Bagaimana sih begitu aja gak bisa,kecewa
Gua kecewa Ama lu ,kecewa
Gimana sih,kecewa
kamu sadar kan kalau di kecewakan orang lain ga enak?,kecewa
saya kecewa sama kamu,kecewa
ih males,kecewa
kesel,kecewa
Sedih ,kecewa
Memberitahu bahwa kita kecewa,kecewa
"Yes, alhamdulillah akhirnya berhasil",bahagia
tersenyum,bahagia
menularkan kebahagian ke org lain,bahagia
banyak berbicara dan mengabadikan moment,bahagia
"senyum-senyum, salting",bahagia
"alhamdulillaah, waahh makasih banget yaaaa udah bikin aku bahagiaa. semoga kamu sehat dan bahagia selalu",bahagia
kitaa jalan2 yuu,bahagia
Ngomong seceria mungkin kalo aku lagi bahagia ,bahagia
Terimakasih yaa atau seneng bangettt ihh rasanya ,bahagia
"Makasih udah jadi orang yang jadi sumber bahagia di hidup aku, aku tau Allaah adil makanya Allaah kirimin kamu buat aku.",bahagia
"Iii gemes, kereeen, ",bahagia
"Alhamdulillah, seneng sekali",bahagia
Senang bersamamu,bahagia
Cerita pengalaman lama,bahagia
Bahagia bersama,bahagia
Liat orang nya dulu klo welcome saya ajak bicara,bahagia
Tidak,bahagia
makasih yah,bahagia
"Ga nomong, tp bny senyum",bahagia
akuu senengg bangettt,bahagia
Terima kasih ,bahagia
Aku sangat senang dan bersyukur,bahagia
Kamu baik deh. makacii,bahagia
Saya bahagia bertemu kamu,bahagia
Aku sayang kamu,bahagia
Terimakasih,bahagia
Senengnya aku,bahagia
saya sedang heppy,bahagia
Alhamdulillah ,bahagia
Cukup senang hari saya hari ini ,bahagia
Senang,bahagia
alhamdulillah...seneng rasanya punya teman baik kayak kamu nyesel,bahagia
Bahagia ,bahagia
Alhamdulillah ,bahagia
Baik,bahagia
Halo..gmn kbr,bahagia
War biasa ,bahagia
Bersyukur punya teman yg baik,bahagia
terimakasih,bahagia
Bahagia,bahagia
aku seneng banget hari ini,bahagia
Alhamdulillah hari ini saya lagi senang sekali .,bahagia
yeay asik,bahagia
asik hehe,bahagia
Ngajak ngopi dan bercanda ,bahagia
Alhamdulillah aku bahagia ,bahagia
"Hari ini saya lagi bahagia banget, karena kamu adalah salah satu teman yang selalu menemani saya yukk makan bareng tenang aja di traktir ko ",bahagia
Alhamdulillah,bahagia
saya suka,bahagia
saya suka saya suka,bahagia
Alhamdulillah hari ini saya lagi bahagia.,bahagia
Bahagia banget masyaAllah,bahagia
Banyak bercanda gurau,bahagia
huaaaa !,sedih
"Yahh, sayang banget, sedih gua dengernya",sedih
menangis huhuhu,sedih
mencari tempat sepi untuk menenangkan diri,sedih
menangis tidak di depan umum,sedih
"nangiss, gamau ngomong apa-apa ",sedih
"jahat banget anjing, sedih gue",sedih
aku mau nangis,sedih
"Ngga ngomong, aku bakalan diem dulu sampai mereda sedih nya",sedih
Aku sedih karna kamu terlalu lama bales chat nya,sedih
I wanna hug you huhuhu :(,sedih
"Kok dia gtu yaa, jahat yaa",sedih
Bercerita dan saling menguatkan,sedih
Kamu membuatku sedih,sedih
Jangan bikin sedih ,sedih
aku gpp aku kuat :(,sedih
yah sedih banget :(,sedih
"astagfirullah, kok orang pada jahat banget ya :(",sedih
"innalillahi, turut bersedih",sedih
kamu sedih aku juga ikut sedih,sedih
akuu sedih bangett,sedih
aku sedih,sedih
"Aku turut bersedih, semoga kamu bisa melewati nya",sedih
Aku kecewa sama kamu,kecewa
Saya lagi mau sendiri,sedih
"Sayang aku lagi sedih,  bantu aku",sedih
Kasihan sekali,sedih
Sedih aku ,sedih
saya sedih karena kamu,sedih
huhuhu :(,sedih
Turut prihatin ya :(,sedih
Biasa aja ,sedih
jaga diri kamu baik baik yach,sedih
Sedih,sedih
Saya lagi sedih nih,sedih
Prihatin,sedih
Yah...begitulah akhirnya,sedih
Sabaaar yaa aku bisa mengerti kesedihan kamu saat ini,sedih
monangis ,sedih
:(  ðŸ˜­ ðŸ˜­ ðŸ˜­ ðŸ˜­,sedih
ðŸ˜¢,sedih
Saya hari ini lagi sedih,sedih
mo nangis,sedih
nangis huhu,sedih
Prihatin,sedih
Saya sedih deh,sedih
turut bersedih hati,sedih
turut belasungkawa yaa,sedih
belasungkawa,sedih
sedih,sedih
nangis banget,sedih
Apaan sih lu,marah
diam kau bangsat,marah
monyet lu,marah
memasang ekspresi datar dan silent treatment,marah
saya sangat marah dengan kejadian ini!,marah
"astagfirullaah, diem dulu dah ya. nanti obrolin lagi kalo udah sama sama stabil",marah
kesal sejadi jadinya sama kalian,marah
"Tolong jangan bicara dulu, ku butuh waktu untuk menenangkan diri ",marah
Kamu kok jahat banget sii jadi orang,marah
"Aku kadang ngga tau kalau kenapa harus marah sama kamu, tapi bisa ngga kita coba saling ngertiin satu sama lain? bisa ngga jadi orang yg ga nyebelin? sebenernya ga pengen marah2 tapi emosi ini tiba-tiba aja muncul. Wajar sih namanya manusia marah normal, tapi tolonglah kerja samanya ya.",marah
Nyebelin ,marah
Aku tidak mau berurusan dengan mu,marah
Kamu nyebelin,marah
berantem aja yuk,marah
kamu kenapa giniin akuðŸ˜“ðŸ˜“,marah
Aku sangat kesal ,marah
aku marah,marah
kamu diam saja !,marah
"Astagfirullah, keterlaluan lu",marah
Gimana sih kamu bisa kerja nggak,marah
Ga bakal saya temenin lagi sih,marah
Aku lagi marah sama kamu,marah
Sialan kamu,marah
Diam aja kau tai,marah
aku membencimu,marah
Sompret,marah
bajingan kamu,marah
Sana pergi jangan kesini lagi,marah
ada yach.orang kayak gitu,marah
saya sangat marah,marah
Saya marah sama kamu ,marah
saya marah,marah
Hei kamu itu ya,marah
Bangsat kamu,marah
"Diam aja dah lu, sebel gua",marah
"terserah lu aja deh, gua lagi kesal",marah
Marah banget sama kamu,marah
anjing lu,marah
"Ngapain kamu ke sini, gua udah muak sama lu",marah
Lu brengsek ,marah
Jangan begitu lah tai,marah
"kita berantem aja yuk, kesel gua",marah
"bisa ngehargain dikit ngga, anjing lu",marah
"halah, ngeselin banget",marah
"konyol juga lu ya lama-lama, sebel jadinya",marah
Ngomong seperti biasa seolah olah gak ada masalah,marah
Kecewa berat,kecewa
Kurang ajar,marah
gue kesel ama loe,marah
Kalau ngga tau ngga usah ngomong se enaknya ,marah
Astaghfirullahaladziiim jaga ucapanmu,marah
Saya ga suka ,marah
Aku tidak suka perbuatan kamu,marah
gue marah sama lo,marah
Kamu jangan begitu ,marah
gua marah nih,marah
Seperti biasa nya tetap ngobrol  seolah olah gak ada masala,marah
Marah nih,marah
aku kesel aku diem,marah
"dih, apa sih kamu, berantem aja yuk",marah
kok kamu bikin aku kesal sih,marah
Terima kasih orang baik,bahagia
Orang itu Lo baik banget,bahagia
Terimakasih ,bahagia
Alhamdulillaah.. Semua ini atas rahmat Alloh swt. ,bahagia
"Aku suka banget, makasih cantik",bahagia
Hari ini aku lagi happy,bahagia
Aku seneng banget ,bahagia
Ayo kita jalan-jalan,bahagia
Bahagia,bahagia
Alhamdulillah  hari ini saya lagi senang /bahagia,bahagia
Bahagia amat ,bahagia
Alhamdulillah...,bahagia
aku bahagia banget,bahagia
Terima kasih ,bahagia
"Terima kasih sayang, aku seneng banget",bahagia
lu lama-lama ngeselin juga ya,sedih
Saya prihatin sama dia,sedih
Kenapa seperti ini yaa ,sedih
Semua ini mungkin ujian dari Alloh. ,sedih
Saya sedih sekali ,sedih
Kamu menyedihkan,sedih
saya sedih banget,sedih
Nangis,sedih
ngeselin amat lu jadi orang,sedih
Hari ini saya lagi kurang semangat .,sedih
aku sedih,sedih
"Saya baikÂ² saja kok, huhuhu",sedih
sediii,sedih
aduh saya sedih,sedih
Biarkan saya sendiri ...,sedih
Semangat ya,sedih
Saya kecewa sama kamu,kecewa
"Hari ini saya lagi kurang semangat, maaf yaa",sedih
"turut bersedih, semoga kamu tetap baik-baik saja ya",sedih
"kamu lagi bersedih ya, aku turut berduka cita :(",sedih
turut berduka cita ,sedih